City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
586,Pitimbu,BR,81.19,clear sky,-7.4706,-34.8086,Reserva do Abiaí
594,Marsh Harbour,BS,84.16,clear sky,26.5412,-77.0636,Abaco Beach Resort
597,Saint-Francois,FR,85.44,clear sky,46.4154,3.9054,Manoir Du Bonheur
606,Taft,IR,89.55,clear sky,31.7471,54.2088,عمارت ساعتی تفت
608,Padang,ID,77.59,few clouds,-0.9492,100.3543,Mercure Padang
610,Auki,SB,75.88,overcast clouds,-8.7676,160.7034,Auki Motel
611,Kollam,IN,76.8,overcast clouds,8.8833,76.6,The Raviz Ashtamudi
613,Gat,IL,81.81,clear sky,31.61,34.7642,OlusHome
615,Lardos,GR,80.42,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
622,Ozinki,RU,81.21,broken clouds,51.1786,49.6769,Korolevskiy Dvor
623,Mana,GF,83.62,overcast clouds,5.6592,-53.7767,LE SAMANA
624,Ilheus,BR,82.22,clear sky,-14.7889,-39.0494,Barravento Hotel
625,Jieshi,CN,80.42,scattered clouds,22.8134,115.8257,Yuehai Hotel
627,Anandnagar,IN,84.31,overcast clouds,27.1,83.2833,Susham's Haveli Hotel and Restaurants
630,Cagliliog,PH,77.68,overcast clouds,13.9016,123.2913,Cagliliog Labog Beach
633,Bandarbeyla,SO,77.63,overcast clouds,9.4942,50.8122,JABIR HOTEL
638,Kailua,US,82.15,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
639,Pacific Grove,US,78.21,clear sky,36.6177,-121.9166,Lovers Point Inn
641,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
643,Nanchang,CN,84.74,broken clouds,28.6833,115.8833,Ruidu Hotel
647,Iwaki,JP,81.77,overcast clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
650,Shenjiamen,CN,81.61,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
651,Komsomolskiy,UZ,81.32,scattered clouds,40.4272,71.7189,Ikathouse
655,Blora,ID,75.06,scattered clouds,-6.9698,111.4186,Hotel Adhi Jaya
661,Marshalltown,US,87.35,clear sky,42.0494,-92.908,Best Western Regency Inn
662,Black River,JM,87.39,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
663,Muros,ES,79.16,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
669,Gotsu,JP,78.4,overcast clouds,35.0,132.2167,Yurusato
670,Awjilah,LY,86.23,clear sky,29.1081,21.2869,المنزل
671,Kampot,KH,75.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
676,Waterloo,CA,83.64,clear sky,43.4668,-80.5164,The Walper Hotel
679,Polonnaruwa,LK,79.52,overcast clouds,7.9333,81.0,Thisara Guest House
680,Weligama,LK,75.67,scattered clouds,5.9667,80.4167,Weligama Bay Resort
683,North Battleford,CA,75.81,overcast clouds,52.7834,-108.2847,Tropical Inn
686,Weiser,US,85.32,overcast clouds,44.251,-116.9693,The Colonial Motel
687,Ha Giang,VN,76.8,overcast clouds,22.8333,104.9833,Truong Xuan Resort
