City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Shiyan,CN,32.6475,110.7781,79.38,78,63,0.87,broken clouds
160,Fortuna,US,40.5982,-124.1573,78.93,53,20,5.75,few clouds
161,Sola,VU,-13.8833,167.55,75.87,94,100,9.22,moderate rain
162,Xucheng,CN,20.35,110.1288,78.24,90,100,6.31,overcast clouds
163,Alice Springs,AU,-23.7,133.8833,58.55,58,100,10.36,overcast clouds
164,Aguimes,ES,27.9054,-15.4461,76.66,66,20,25.99,few clouds
165,Ola,RU,59.5833,151.2833,55.15,88,100,5.44,overcast clouds
166,Seymchan,RU,62.8833,152.4333,61.2,64,100,3.49,overcast clouds
167,Dzaoudzi,YT,-12.7887,45.2699,75.09,78,20,5.75,few clouds
168,San Rafael,AR,-34.6177,-68.3301,61.12,27,0,15.93,clear sky
169,Camabatela,AO,-8.1881,15.375,70.57,21,29,3.65,scattered clouds
170,Jamestown,US,42.097,-79.2353,80.06,48,40,6.91,scattered clouds
171,Chimoio,MZ,-19.1164,33.4833,64.26,82,0,5.23,clear sky
172,Katsuura,JP,35.1333,140.3,80.55,91,100,12.8,overcast clouds
173,Kerema,PG,-7.9631,145.7785,76.32,91,100,1.25,overcast clouds
174,Novyy Urengoy,RU,66.0833,76.6333,53.35,64,82,7.72,broken clouds
175,Samarai,PG,-10.6167,150.6667,77.86,75,92,17.6,overcast clouds
176,Machali,CL,-34.1833,-70.6667,60.08,51,0,11.5,clear sky
177,College,US,64.8569,-147.8028,55.2,73,20,1.01,few clouds
178,Makakilo City,US,21.3469,-158.0858,82.72,66,20,19.57,few clouds
179,Kologriv,RU,58.8275,44.3178,53.2,96,1,4.41,clear sky
180,Buala,SB,-8.145,159.5921,77.92,83,44,3.53,light rain
181,Launceston,AU,-41.45,147.1667,44.24,90,33,6.91,scattered clouds
182,Ponta Do Sol,PT,32.6667,-17.1,75.13,74,40,6.49,scattered clouds
183,Kahului,US,20.8947,-156.47,82.98,66,40,21.85,scattered clouds
184,Adana,TR,36.985,35.2881,82.92,83,75,4.61,broken clouds
185,Aklavik,CA,68.2191,-135.0107,54.5,47,31,6.82,scattered clouds
186,Coquimbo,CL,-29.9533,-71.3436,56.93,82,40,11.5,scattered clouds
187,Guilin,CN,25.2819,110.2864,78.91,89,98,1.79,overcast clouds
188,Balykshi,KZ,47.0667,51.8667,78.8,29,0,8.95,clear sky
189,Mackay,AU,-21.15,149.2,60.67,71,76,10.87,broken clouds
190,Springdale,US,36.1867,-94.1288,91.04,56,40,6.91,scattered clouds
191,Saldanha,ZA,-33.0117,17.9442,57.25,92,100,3.0,overcast clouds
192,Sakakah,SA,29.9697,40.2064,99.97,22,0,11.83,clear sky
193,Bethel,US,41.3712,-73.414,86.47,55,75,3.0,broken clouds
194,Shangrao,CN,28.4532,117.9686,77.05,84,29,3.38,scattered clouds
195,Vila Velha,BR,-20.3297,-40.2925,85.95,70,0,14.97,clear sky
196,Shitanjing,CN,39.2342,106.3439,70.48,78,0,3.65,clear sky
197,Yulara,AU,-25.2406,130.9889,52.2,53,100,5.77,overcast clouds
198,Mount Gambier,AU,-37.8333,140.7667,45.39,93,100,9.69,light rain
199,Barrow,US,71.2906,-156.7887,44.62,93,100,12.66,light rain
200,Marsala,IT,37.7966,12.4352,82.35,74,40,10.36,scattered clouds
201,Okhotsk,RU,59.3833,143.3,56.39,93,100,4.76,light rain
202,Matara,LK,5.9485,80.5353,75.24,93,25,7.56,scattered clouds
203,Jalu,LY,29.0331,21.5482,88.38,30,0,13.09,clear sky
204,Lazaro Cardenas,MX,17.9583,-102.2,88.86,58,99,6.73,overcast clouds
205,Dombarovskiy,RU,50.7587,59.5386,70.88,55,10,8.08,clear sky
206,Daru,PG,-9.0763,143.2092,76.46,86,78,18.97,broken clouds
207,Prizren,XK,42.2139,20.7397,73.04,70,99,5.53,overcast clouds
208,Adrar,MR,20.5022,-10.0711,103.71,11,4,7.56,clear sky
209,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,10.36,broken clouds
210,Arua,UG,3.0201,30.9111,65.43,84,97,3.0,overcast clouds
211,Lompoc,US,34.6391,-120.4579,88.7,64,0,10.36,clear sky
212,Port Shepstone,ZA,-30.7414,30.455,66.61,80,17,8.97,few clouds
213,Kovernino,RU,57.1253,43.8142,57.16,81,0,4.81,clear sky
214,Goba,ET,7.0167,39.9833,50.36,92,96,2.53,overcast clouds
215,Lons-Le-Saunier,FR,46.75,5.75,81.72,58,0,4.65,clear sky
216,Tokur,RU,53.1333,132.9,47.14,99,100,2.19,light rain
217,Pisco,PE,-13.7,-76.2167,64.02,77,75,11.5,broken clouds
218,Qaqortoq,GL,60.7167,-46.0333,46.02,73,100,5.57,light rain
219,Kings Point,US,26.4454,-80.1398,93.99,73,40,12.66,scattered clouds
220,Sorong,ID,-0.8833,131.25,77.58,85,51,4.36,broken clouds
221,Torbay,CA,47.6666,-52.7314,59.58,85,100,17.0,overcast clouds
222,Kushima,JP,31.4583,131.2333,78.39,93,73,2.42,broken clouds
223,Eydhafushi,MV,5.1033,73.0708,81.05,84,42,12.5,scattered clouds
224,Lagoa,PT,39.05,-27.9833,71.17,70,71,8.16,broken clouds
225,Eldorado,BR,-23.7869,-54.2836,53.98,78,98,10.56,overcast clouds
226,Beloha,MG,-25.1667,45.05,70.18,51,86,12.35,overcast clouds
227,Panama City,PA,8.9936,-79.5197,89.55,68,40,4.61,scattered clouds
228,Cumberland,US,35.0502,-78.8664,99.7,39,0,16.11,clear sky
229,Clyde River,CA,70.4692,-68.5914,43.63,68,100,4.38,overcast clouds
230,Dongzhen,CN,22.3797,110.9389,76.55,98,100,3.6,moderate rain
231,Belaya Gora,RU,68.5333,146.4167,59.72,67,34,1.92,scattered clouds
232,Iranshahr,IR,27.2025,60.6848,106.14,11,81,16.11,sand
233,Bathsheba,BB,13.2167,-59.5167,88.41,66,40,11.5,scattered clouds
234,Surt,LY,31.2089,16.5887,82.18,64,0,13.15,clear sky
235,Sitka,US,57.0531,-135.33,57.09,82,100,3.44,overcast clouds
236,Geraldton,AU,-28.7667,114.6,43.21,87,0,5.75,clear sky
237,Najran,SA,17.4924,44.1277,92.05,32,99,5.66,overcast clouds
238,Krasnyy Profintern,RU,57.7446,40.435,57.22,70,27,6.67,scattered clouds
239,Tautira,PF,-17.7333,-149.15,76.23,76,57,10.49,moderate rain
240,Korla,CN,41.7597,86.1469,88.9,24,34,13.56,scattered clouds
241,New Norfolk,AU,-42.7826,147.0587,40.91,76,17,1.01,few clouds
242,Karratha,AU,-20.7377,116.8463,63.77,28,0,12.24,clear sky
243,Sovetskiy,RU,61.3614,63.5842,64.72,51,71,8.23,broken clouds
244,Santiago,CL,-33.4569,-70.6483,70.29,34,0,16.11,clear sky
245,Freeport,US,40.6576,-73.5832,87.31,62,100,10.36,overcast clouds
246,San Juan,AR,-31.5375,-68.5364,70.57,14,1,8.48,clear sky
247,Butaritari,KI,3.0707,172.7902,81.32,78,60,17.76,light rain
248,Carballo,ES,43.213,-8.691,70.77,90,68,1.43,broken clouds
249,Narasannapeta,IN,18.4167,84.05,79.18,85,100,7.78,overcast clouds
250,Warri,NG,5.5167,5.75,76.84,83,100,7.52,overcast clouds
251,Dunedin,NZ,-45.8742,170.5036,40.8,80,100,1.99,overcast clouds
252,Bocas Del Toro,PA,9.3333,-82.25,80.69,82,100,6.46,overcast clouds
253,Thiruvananthapuram,IN,8.4833,76.9167,80.58,83,20,3.44,mist
254,Harper,LR,4.375,-7.7169,75.65,79,100,9.91,overcast clouds
255,Kudahuvadhoo,MV,2.6708,72.8944,81.7,79,99,5.55,overcast clouds
256,Port Alfred,ZA,-33.5906,26.891,60.64,84,100,6.76,overcast clouds
257,Taybad,IR,34.74,60.7756,77.7,22,0,21.92,clear sky
258,Balkanabat,TM,39.5108,54.3671,87.08,35,0,5.5,clear sky
259,Gushikawa,JP,26.3544,127.8686,83.43,93,0,4.61,haze
260,Banda Aceh,ID,5.5577,95.3222,78.6,83,85,11.03,overcast clouds
261,Cabo San Lucas,MX,22.8909,-109.9124,94.6,68,99,4.0,overcast clouds
262,Tuatapere,NZ,-46.1333,167.6833,35.06,91,27,3.69,scattered clouds
263,Tiarei,PF,-17.5333,-149.3333,78.82,75,45,10.29,moderate rain
264,Leningradskiy,RU,69.3833,178.4167,42.64,91,89,3.47,overcast clouds
265,Touros,BR,-5.1989,-35.4608,80.02,62,5,14.14,clear sky
266,Tarauaca,BR,-8.1614,-70.7656,82.71,52,50,5.7,scattered clouds
267,Malkara,TR,40.89,26.9011,74.71,50,0,13.82,clear sky
268,Salem,IN,11.65,78.1667,74.46,82,91,3.98,overcast clouds
269,Hofn,IS,64.2539,-15.2082,55.42,71,20,13.8,haze
270,Oktyabrskiy,RU,54.4815,53.471,65.53,85,23,3.22,few clouds
271,Ust-Kuyga,RU,70.0167,135.6,58.06,68,100,4.43,overcast clouds
272,Changji,CN,44.0167,87.3167,75.99,57,0,4.47,clear sky
273,Burgersdorp,ZA,-30.9977,26.3286,54.5,30,27,4.81,scattered clouds
274,Negombo,LK,7.2083,79.8358,80.65,83,0,4.61,clear sky
275,Hasaki,JP,35.7333,140.8333,79.29,90,100,15.32,overcast clouds
276,Yatou,CN,37.15,122.3833,71.24,94,100,1.99,overcast clouds
277,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,78,75,5.75,broken clouds
278,Banjar,ID,-8.19,114.9675,75.54,91,35,4.68,scattered clouds
279,Shevchenkove,UA,49.6959,37.1735,81.79,26,100,11.48,overcast clouds
280,Zhezkazgan,KZ,47.8043,67.7144,66.79,63,78,10.22,broken clouds
281,Grand Gaube,MU,-20.0064,57.6608,70.38,60,96,10.0,overcast clouds
282,Laguna,US,38.421,-121.4238,83.01,47,0,4.61,clear sky
283,Martapura,ID,-3.4167,114.85,75.29,100,100,3.44,overcast clouds
284,Vaini,TO,-21.2,-175.2,77.16,94,20,10.36,few clouds
285,Olovyannaya,RU,50.95,115.5667,58.71,65,100,3.76,overcast clouds
286,Puerto Del Rosario,ES,28.5004,-13.8627,78.55,61,20,16.11,few clouds
287,Puerto Cabezas,NI,14.0351,-83.3888,85.96,79,40,9.22,scattered clouds
288,Kyzyl,RU,51.7,94.45,62.26,56,16,5.14,few clouds
289,Bambous Virieux,MU,-20.3428,57.7575,70.21,52,40,18.41,light rain
290,Suffolk,US,40.8668,-72.7996,84.58,71,100,8.05,overcast clouds
291,Lavrentiya,RU,65.5833,-171.0,49.24,70,100,7.76,overcast clouds
292,Merauke,ID,-8.4667,140.3333,76.24,86,97,15.3,overcast clouds
293,Lebu,CL,-37.6167,-73.65,52.12,72,0,4.68,clear sky
294,Atar,MR,20.5169,-13.0499,109.45,18,6,6.91,dust
295,Payo,ID,-3.7508,103.6372,73.15,87,43,2.46,scattered clouds
296,Loiza,PR,18.4313,-65.8802,91.63,69,40,18.41,scattered clouds
297,Payakumbuh,ID,-0.2202,100.6308,69.76,97,14,2.48,few clouds
298,Sur,OM,22.5667,59.5289,86.83,62,100,13.73,overcast clouds
299,San Patricio,US,28.017,-97.5169,98.08,35,13,11.18,few clouds
300,Chubbuck,US,42.9208,-112.4661,90.14,33,0,12.66,clear sky
301,Selenginsk,RU,52.0064,106.8647,61.21,83,18,3.53,few clouds
302,Alta Gracia,AR,-31.6529,-64.4283,63.55,33,88,16.15,overcast clouds
303,Koygorodok,RU,60.445,50.9968,52.86,97,100,8.99,overcast clouds
304,Salalah,OM,17.0151,54.0924,77.09,100,100,5.75,overcast clouds
305,Marawi,PH,7.9986,124.2928,68.29,87,93,1.86,overcast clouds
306,Vao,NC,-22.6667,167.4833,68.31,55,83,21.16,broken clouds
307,Barela,IN,23.1,80.05,74.89,96,100,9.24,light rain
308,Cascais,PT,38.6979,-9.4215,74.55,74,0,9.22,clear sky
309,Cervo,ES,43.6702,-7.4101,70.02,92,54,0.81,broken clouds
310,Iranduba,BR,-3.2847,-60.1861,93.52,27,7,6.15,clear sky
311,Shieli,KZ,44.1667,66.75,74.41,32,0,6.58,clear sky
312,Nikolskoye,RU,59.7035,30.7861,62.49,76,19,2.89,few clouds
313,Sinnamary,GF,5.3833,-52.95,82.9,76,38,10.92,scattered clouds
314,Wad Rawah,SD,15.1603,33.1397,86.56,55,93,13.29,overcast clouds
315,Rawson,AR,-43.3002,-65.1023,56.84,40,100,5.91,overcast clouds
316,Margate,GB,51.3813,1.3862,72.1,79,5,5.99,clear sky
317,Mayo,US,38.8876,-76.5119,94.3,75,32,1.99,light rain
318,Halifax,CA,44.6453,-63.5724,72.34,77,70,8.99,broken clouds
319,Panacan,PH,9.2463,118.4082,78.24,76,100,2.55,overcast clouds
320,Tigil,RU,57.8,158.6667,53.64,98,100,4.72,light rain
321,Namatanai,PG,-3.6667,152.4333,78.58,82,99,4.38,light rain
322,Anadyr,RU,64.75,177.4833,59.5,77,0,4.47,clear sky
323,Westport,US,41.1415,-73.3579,87.73,62,75,10.36,broken clouds
324,Baijiantan,CN,45.6333,85.1833,79.81,41,49,7.27,scattered clouds
325,Sabha,LY,27.0377,14.4283,90.88,19,0,9.26,clear sky
326,Paracuru,BR,-3.41,-39.0306,80.11,65,9,16.93,clear sky
327,Asyut,EG,27.181,31.1837,89.78,25,0,12.24,clear sky
328,Tazovskiy,RU,67.4667,78.7,47.53,84,99,8.86,overcast clouds
329,Papara,BR,-3.9839,-38.7273,85.96,55,5,8.59,clear sky
330,Bulnes,CL,-36.7423,-72.2985,54.36,55,0,2.01,clear sky
331,Buy,RU,58.4786,41.53,53.98,84,6,5.35,clear sky
